"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
0003-01-20,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0003-02-20,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0003-03-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0003-04-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0003-05-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0003-06-20,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0003-07-20,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0003-08-20,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0003-09-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0003-10-20,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0003-11-20,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0004-01-20,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0004-02-20,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0004-03-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0004-04-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0004-05-20,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
0004-06-20,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
